appid,ccu,owners,positive,negative,name,type,is_free,price_uyu,original_price_uyu,discount_pct,release_date,supported_languages,metacritic_score,genres,categories,platforms_windows,platforms_mac,platforms_linux,min_requirements,developers,publishers,review_score,has_es_latam,is_indie,is_multiplayer,is_singleplayer,pct_min_wage,year,age_years,era,ram_gb,storage_gb
1086940,54771,"20,000,000 .. 50,000,000",736688,23974,Baldur's Gate 3,game,False,1599.0,1599.0,0,2023-08-03,"English<strong>*</strong>, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Portuguese - Brazil, Italian, Spanish - Latin America, Traditional Chinese, Ukrainian, Korean, Japanese<br><strong>*</strong>languages with full audio support",96.0,"Adventure,RPG,Strategy","Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Remote Play on TV,Remote Play Together,Family Sharing",True,True,False,Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10 64-bit    Processor:  Intel I5 4690 / AMD FX 8350 / Snapdragon X Elite    Memory:  8 GB RAM    Graphics:  Nvidia GTX 970 / RX 480 / Intel Arc A380 / Qualcomm Adreno X1 (4GB+ of VRAM)    DirectX:  Version 11    Storage:  150 GB available space    Additional Notes:  SSD required,Larian Studios,Larian Studios,0.9685,True,False,True,True,7.27,2023.0,2.9,Modern,8.0,150.0
553850,53399,"20,000,000 .. 50,000,000",775883,241752,HELLDIVERS™ 2,game,False,1599.0,1599.0,0,2024-02-08,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean, Portuguese - Brazil<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Polish, Portuguese - Portugal, Russian, Simplified Chinese<strong>*</strong>, Traditional Chinese<br><strong>*</strong>languages with full audio support",,Action,"Multi-player,Co-op,Online Co-op,Steam Achievements,In-App Purchases,Adjustable Text Size,Camera Comfort,Chat Speech-to-text,Chat Text-to-speech,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Narrated Game Menus,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound,Partial Controller Support,Family Sharing",True,False,False,Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10    Processor:  Intel Core i7-4790K or AMD Ryzen 5 1500X    Memory:  8 GB RAM    Graphics:  NVIDIA GeForce GTX 1050 Ti or AMD Radeon RX 470    Storage:  135 GB available space,Arrowhead Game Studios,PlayStation Publishing LLC,0.7624,True,False,True,False,7.27,2024.0,2.4,Modern,8.0,135.0
359550,51847,"20,000,000 .. 50,000,000",1172854,225730,Tom Clancy's Rainbow Six Siege,game,True,0.0,0.0,0,2015-12-01,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Traditional Chinese, Simplified Chinese, Turkish, Thai<br><strong>*</strong>languages with full audio support",,"Action,Free To Play","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Full controller support,Steam Trading Cards,In-App Purchases,Remote Play on Phone,Remote Play on Tablet",True,False,False,"Minimum:     OS:  Windows 10, Windows 11 (64-bit versions)    Processor:  AMD Ryzen 3 3100 / Intel i3-8100    Memory:  8 GB RAM    Graphics:  Nvidia GTX 1650 4GB / AMD RX 5500XT 4GB / Intel ARC A380 6GB    DirectX:  Version 12    Network:  Broadband Internet connection    Storage:  65 GB available space    Sound Card:  DirectX® 9.0c compatible sound card with latest drivers    Additional Notes:  For an up-to-date list of supported chipsets, please visit the FAQ for this game on our support website. Game contains BattleEye anti-cheat technology.",Ubisoft Montreal,Ubisoft,0.8386,False,False,True,True,0.0,2015.0,10.6,Classic,8.0,65.0
413150,50662,"20,000,000 .. 50,000,000",872384,13811,Stardew Valley,game,False,329.0,329.0,0,2016-02-26,"English, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, French, Italian, Hungarian, Korean, Turkish",89.0,"Indie,RPG,Simulation","Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play Together,Family Sharing",True,True,True,"Minimum:     OS *:  Windows Vista or greater    Processor:  2 Ghz    Memory:  2 GB RAM    Graphics:  256 mb video memory, shader model 3.0+    DirectX:  Version 10    Storage:  500 MB available space",ConcernedApe,ConcernedApe,0.9844,False,True,True,True,1.5,2016.0,10.3,Classic,2.0,
236390,50478,"20,000,000 .. 50,000,000",484469,272617,War Thunder,game,True,0.0,0.0,0,2013-08-15,"English<strong>*</strong>, German<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, Spanish - Spain<strong>*</strong>, Simplified Chinese, Russian<strong>*</strong>, Japanese<strong>*</strong>, Polish<strong>*</strong>, Czech<strong>*</strong>, Turkish<strong>*</strong>, Portuguese - Portugal, Korean, Portuguese - Brazil, Hungarian, Ukrainian, Traditional Chinese, Romanian<br><strong>*</strong>languages with full audio support",81.0,"Action,Massively Multiplayer,Simulation,Free To Play","Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,VR Supported,Steam Trading Cards,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Remote Play on Phone,Remote Play on Tablet",True,True,True,Minimum:     OS:  Windows 10 (64bit)    Processor:  Dual-Core 2.2 GHz    Memory:  4 GB RAM    Graphics:  DirectX 11 level video card: AMD Radeon 77XX / NVIDIA GeForce GTX 660. The minimum supported resolution for the game is 720p.    DirectX:  Version 11    Network:  Broadband Internet connection    Storage:  70 GB available space    VR Support:  SteamVR. Keyboard or gamepad required,Gaijin Entertainment,Gaijin Network Ltd,0.6399,False,False,True,True,0.0,2013.0,12.9,Classic,4.0,70.0
2252570,47931,"1,000,000 .. 2,000,000",20927,2121,Football Manager 2024,game,False,0.0,0.0,0,2023-11-06,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Turkish",,"Simulation,Sports,Strategy","Single-player,Multi-player,Steam Achievements,Steam Cloud,Family Sharing",True,True,False,"Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10/11 with updates - 64 bit    Processor:  Intel Core 2 or AMD Athlon 64 X2    Memory:  4 GB RAM    Graphics:  Intel GMA X4500, NVIDIA GeForce 9600M GT, AMD/ATI Mobility Radeon HD 3650 - requires 256MB VRAM and DirectX® 11    DirectX:  Version 11    Storage:  7 GB available space    Additional Notes:  Display: 1024x768. Performance scales with higher-end systems. Microsoft no longer supports Windows 10 or older versions.",Sports Interactive,SEGA,0.908,False,False,True,True,0.0,2023.0,2.6,Modern,4.0,7.0
381210,44886,"20,000,000 .. 50,000,000",630223,166993,Dead by Daylight,game,False,212.0,530.0,60,2016-06-14,"English<strong>*</strong>, French<strong>*</strong>, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese<strong>*</strong>, Korean, Polish, Spanish - Latin America, Turkish<br><strong>*</strong>languages with full audio support",,Action,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Color Alternatives,Custom Volume Controls,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",True,False,False,"Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10 64-bit Operating System    Processor:  Intel Core i3-4170 or AMD FX-8120    Memory:  8 GB RAM    Graphics:  DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB    DirectX:  Version 11    Network:  Broadband Internet connection    Storage:  50 GB available space    Sound Card:  DX11 compatible    Additional Notes:  With these requirements, it is recommended that the game is played on Low quality settings.",Behaviour Interactive Inc.,Behaviour Interactive Inc.,0.7905,True,False,True,False,0.96,2016.0,10.0,Established,8.0,50.0
440,43819,"50,000,000 .. 100,000,000",1044264,117208,Team Fortress 2,game,True,0.0,0.0,0,2007-10-10,"English<strong>*</strong>, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian, Spanish - Latin America<br><strong>*</strong>languages with full audio support",92.0,"Action,Free To Play","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Camera Comfort,Color Alternatives,Custom Volume Controls,Stereo Sound,Surround Sound,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet",True,False,True,Minimum:     OS *:  Windows® 7 (32/64-bit)/Vista/XP    Processor:  1.7 GHz Processor or better    Memory:  512 MB RAM    DirectX:  Version 8.1    Network:  Broadband Internet connection    Storage:  15 GB available space,Valve,Valve,0.8991,True,False,True,False,0.0,2007.0,18.7,Classic,,15.0
2669320,42032,"5,000,000 .. 10,000,000",37253,37543,EA SPORTS FC™ 25,game,False,2700.0,2700.0,0,2024-09-26,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic<strong>*</strong>, Czech, Danish, Dutch<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Norwegian, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Portuguese - Portugal, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Swedish, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support",,"Simulation,Sports","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Adjustable Difficulty,Keyboard Only Option,Stereo Sound,Remote Play Together,HDR available",True,False,False,Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10 - 64-Bit (Latest Update)    Processor:  AMD Ryzen 5 1600 or Intel Core i5 6600k    Memory:  8 GB RAM    Graphics:  AMD RX 570 or Nvidia GTX 1050 Ti    DirectX:  Version 12    Network:  Broadband Internet connection    Storage:  100 GB available space    Sound Card:  DirectX: 12 Compatible video card or equivalent (feature level 12_0),"EA Canada,EA Romania",Electronic Arts,0.4981,True,False,True,True,12.27,2024.0,1.7,Recent,8.0,100.0
1366800,41428,"2,000,000 .. 5,000,000",29275,2077,Crosshair X,game,False,70.0,70.0,0,2020-08-17,"English<strong>*</strong>, German<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Spanish - Latin America<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech<strong>*</strong>, Polish<strong>*</strong>, Swedish<strong>*</strong>, Turkish<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong><br><strong>*</strong>languages with full audio support",,"Action,Adventure,Indie,Software Training,Utilities","Captions available,Steam Workshop,Partial Controller Support,Steam Cloud",True,False,False,Minimum:     OS:  Windows 10,CenterPoint Gaming,CenterPoint Gaming,0.9338,True,True,False,False,0.32,2020.0,5.8,Established,,
